Date,Close
12/30/1927,17.66
1/3/1928,17.76
1/4/1928,17.72
1/5/1928,17.55
1/6/1928,17.66
1/9/1928,17.5
1/10/1928,17.37
1/11/1928,17.35
1/12/1928,17.47
1/13/1928,17.58
1/16/1928,17.29
1/17/1928,17.3
1/18/1928,17.26
1/19/1928,17.38
1/20/1928,17.48
1/23/1928,17.64
1/24/1928,17.71
1/25/1928,17.52
1/26/1928,17.63
1/27/1928,17.69
1/30/1928,17.49
1/31/1928,17.57
2/1/1928,17.53
2/2/1928,17.63
2/3/1928,17.4
2/6/1928,17.45
2/7/1928,17.44
2/8/1928,17.49
2/9/1928,17.55
2/10/1928,17.54
2/14/1928,17.44
2/15/1928,17.4
2/16/1928,17.35
2/17/1928,17.04
2/20/1928,16.95
2/21/1928,17.11
2/23/1928,17.13
2/24/1928,17.18
2/27/1928,17.11
2/28/1928,17.16
2/29/1928,17.26
3/1/1928,17.3
3/2/1928,17.3
3/5/1928,17.57
3/6/1928,17.67
3/7/1928,17.58
3/8/1928,17.64
3/9/1928,17.93
3/12/1928,18
3/13/1928,17.92
3/14/1928,17.93
3/15/1928,18.07
3/16/1928,18.26
3/19/1928,18.36
3/20/1928,18.46
3/21/1928,18.65
3/22/1928,18.6
3/23/1928,18.78
3/26/1928,19.05
3/27/1928,18.94
3/28/1928,18.89
3/29/1928,18.95
3/30/1928,19.28
4/2/1928,18.91
4/3/1928,19.02
4/4/1928,18.99
4/5/1928,19.23
4/9/1928,19.27
4/10/1928,19.1
4/11/1928,19.44
4/12/1928,19.41
4/13/1928,19.73
4/16/1928,19.68
4/17/1928,19.52
4/18/1928,19.52
4/19/1928,19.63
4/20/1928,19.34
4/23/1928,19.15
4/24/1928,19.25
4/25/1928,19.33
4/26/1928,19.47
4/27/1928,19.68
4/30/1928,19.75
5/1/1928,19.78
5/2/1928,19.83
5/3/1928,19.93
5/4/1928,20.24
5/7/1928,20.41
5/8/1928,20.27
5/9/1928,20.24
5/10/1928,20.21
5/11/1928,20.36
5/14/1928,20.44
5/15/1928,20.39
5/16/1928,20.05
5/17/1928,20.12
5/18/1928,19.92
5/21/1928,19.63
5/22/1928,19.36
5/23/1928,19.75
5/24/1928,19.87
5/25/1928,19.9
5/28/1928,19.57
5/29/1928,19.82
5/31/1928,20
6/1/1928,20.07
6/4/1928,19.8
6/5/1928,19.85
6/6/1928,19.66
6/7/1928,19.61
6/8/1928,19.37
6/11/1928,18.68
6/12/1928,18.34
6/13/1928,18.89
6/14/1928,19.05
6/15/1928,18.74
6/18/1928,18.4
6/19/1928,18.34
6/20/1928,18.57
6/21/1928,18.56
6/22/1928,18.54
6/25/1928,18.47
6/26/1928,18.68
6/27/1928,18.86
6/28/1928,19.07
6/29/1928,19.14
7/2/1928,18.98
7/3/1928,19.29
7/5/1928,19.48
7/6/1928,19.39
7/9/1928,19.46
7/10/1928,19.43
7/11/1928,18.95
7/12/1928,18.81
7/13/1928,18.96
7/16/1928,18.7
7/17/1928,18.8
7/18/1928,19.03
7/19/1928,18.99
7/20/1928,19.03
7/23/1928,19.12
7/24/1928,19.09
7/25/1928,19.2
7/26/1928,19.24
7/27/1928,19.42
7/30/1928,19.47
7/31/1928,19.43
8/1/1928,19.42
8/2/1928,19.33
8/3/1928,19.36
8/6/1928,19.58
8/7/1928,19.49
8/8/1928,19.25
8/9/1928,19.3
8/10/1928,19.25
8/13/1928,19.29
8/14/1928,19.13
8/15/1928,19.47
8/16/1928,19.61
8/17/1928,19.64
8/20/1928,19.77
8/21/1928,20.02
8/22/1928,20
8/23/1928,20.02
8/24/1928,20.34
8/27/1928,20.38
8/28/1928,20.54
8/29/1928,20.58
8/30/1928,20.61
8/31/1928,20.87
9/4/1928,20.97
9/5/1928,21.07
9/6/1928,20.94
9/7/1928,21.09
9/10/1928,20.92
9/11/1928,21.08
9/12/1928,21.16
9/13/1928,21.14
9/14/1928,21.14
9/17/1928,21.33
9/18/1928,21.18
9/19/1928,21.18
9/20/1928,21.22
9/21/1928,21.36
9/24/1928,21.43
9/25/1928,21.41
9/26/1928,21.4
9/27/1928,21.13
9/28/1928,21.14
10/1/1928,21.36
10/2/1928,21.26
10/3/1928,21.19
10/4/1928,21.26
10/5/1928,21.22
10/8/1928,21.11
10/9/1928,21.18
10/10/1928,21.41
10/11/1928,21.51
10/15/1928,21.65
10/16/1928,21.72
10/17/1928,21.79
10/18/1928,21.84
10/19/1928,21.96
10/22/1928,21.81
10/23/1928,21.95
10/24/1928,21.99
10/25/1928,21.91
10/26/1928,21.65
10/29/1928,22
10/30/1928,21.76
10/31/1928,21.68
11/1/1928,21.99
11/2/1928,21.95
11/5/1928,22.24
11/7/1928,22.24
11/8/1928,22.39
11/9/1928,22.55
11/12/1928,22.84
11/13/1928,22.91
11/14/1928,22.91
11/15/1928,23.03
11/16/1928,23.37
11/19/1928,23.37
11/20/1928,23.57
11/21/1928,23.22
11/22/1928,23.52
11/23/1928,23.7
11/26/1928,23.8
11/27/1928,23.91
11/28/1928,24.19
11/30/1928,24.28
12/3/1928,23.85
12/4/1928,23.91
12/5/1928,23.81
12/6/1928,22.91
12/7/1928,22.36
12/10/1928,22.31
12/11/1928,22.74
12/12/1928,22.52
12/13/1928,22.48
12/14/1928,22.53
12/17/1928,22.44
12/18/1928,22.7
12/19/1928,22.98
12/20/1928,23.07
12/21/1928,23.33
12/24/1928,23.54
12/26/1928,23.44
12/27/1928,23.64
12/28/1928,23.98
12/31/1928,24.35
1/2/1929,24.81
1/3/1929,24.86
1/4/1929,24.85
1/7/1929,24.25
1/8/1929,24.17
1/9/1929,24.54
1/10/1929,24.58
1/11/1929,24.54
1/14/1929,24.59
1/15/1929,24.23
1/16/1929,24.56
1/17/1929,24.69
1/18/1929,24.77
1/21/1929,24.86
1/22/1929,25.07
1/23/1929,25.22
1/24/1929,25.06
1/25/1929,25.48
1/28/1929,25.35
1/29/1929,25.36
1/30/1929,25.45
1/31/1929,25.74
2/1/1929,25.84
2/4/1929,25.64
2/5/1929,25.7
2/6/1929,25.49
2/7/1929,24.71
2/8/1929,24.44
2/11/1929,24.98
2/13/1929,24.95
2/14/1929,24.85
2/15/1929,24.35
2/18/1929,24.39
2/19/1929,24.38
2/20/1929,24.59
2/21/1929,24.86
2/25/1929,24.91
2/26/1929,24.95
2/27/1929,25.25
2/28/1929,25.59
3/1/1929,25.83
3/4/1929,25.49
3/5/1929,25.32
3/6/1929,24.92
3/7/1929,25.15
3/8/1929,25.31
3/11/1929,24.95
3/12/1929,24.97
3/13/1929,25.24
3/14/1929,25.73
3/15/1929,26.08
3/18/1929,26.04
3/19/1929,26.03
3/20/1929,26.02
3/21/1929,25.9
3/22/1929,25.55
3/25/1929,24.51
3/26/1929,24.35
3/27/1929,25.09
3/28/1929,25.53
4/1/1929,24.88
4/2/1929,25.17
4/3/1929,24.86
4/4/1929,25.3
4/5/1929,25.05
4/8/1929,24.83
4/9/1929,24.63
4/10/1929,24.78
4/11/1929,25.06
4/12/1929,25.15
4/15/1929,25
4/16/1929,25.06
4/17/1929,25.32
4/18/1929,25.43
4/19/1929,25.41
4/22/1929,25.7
4/23/1929,25.85
